AcceptedErrorRateBudget,AcceptedErrorPercentBudget,StrategyID,Strategy,HighestAcceptedCountWithinBudget,HighestCoverageWithinBudget,HighestCoveragePercentWithinBudget,ObservedAcceptedErrors,ObservedAcceptedErrorRate,FalseNegativesAmongAccepted,HighestCoverageWinner,HighestCoverageStrategies
0.021739130434782608,2.1739130434782608,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021739130434782608,2.1739130434782608,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021739130434782608,2.1739130434782608,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.02197802197802198,2.197802197802198,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.02197802197802198,2.197802197802198,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.02197802197802198,2.197802197802198,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.02197802197802198,2.197802197802198,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022222222222222223,2.2222222222222223,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022222222222222223,2.2222222222222223,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022222222222222223,2.2222222222222223,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022222222222222223,2.2222222222222223,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.02247191011235955,2.2471910112359552,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.02247191011235955,2.2471910112359552,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.02247191011235955,2.2471910112359552,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.02247191011235955,2.2471910112359552,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022727272727272728,2.2727272727272729,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022727272727272728,2.2727272727272729,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022727272727272728,2.2727272727272729,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022727272727272728,2.2727272727272729,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022988505747126436,2.2988505747126435,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022988505747126436,2.2988505747126435,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022988505747126436,2.2988505747126435,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.022988505747126436,2.2988505747126435,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023255813953488372,2.3255813953488373,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023255813953488372,2.3255813953488373,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023255813953488372,2.3255813953488373,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023255813953488372,2.3255813953488373,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023529411764705882,2.3529411764705883,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023529411764705882,2.3529411764705883,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023529411764705882,2.3529411764705883,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023529411764705882,2.3529411764705883,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023809523809523808,2.3809523809523809,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023809523809523808,2.3809523809523809,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.023809523809523808,2.3809523809523809,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
